Fit Curves X	
720.0	235.71644869377565
721.0	227.30679466976028
722.0	219.25672941474716
723.0	211.55527285955952
724.0	204.1913582436872
725.0	197.15386373416516
726.0	190.43164317021808
727.0	184.0135557790661
728.0	177.8884947264445
729.0	172.04541438330546
730.0	166.47335620773197
731.0	161.16147315810417
732.0	156.09905257002572
733.0	151.2755374452521
734.0	146.68054611584694
735.0	142.30389026093906
736.0	138.1355912667185
737.0	134.16589493262893
738.0	130.3852845381026
739.0	126.78449229456533
740.0	123.35450921685822
741.0	120.08659345663989
742.0	116.97227714777523
743.0	114.00337182020041
744.0	111.17197244430224
745.0	108.47046017247669
746.0	105.89150384830737
747.0	103.42806035673118
748.0	101.07337389070528
749.0	98.82097421130663
750.0	96.66467397889039
751.0	94.59856523304927
752.0	92.6170150985796
753.0	90.71466079364666
754.0	88.88640401483485
755.0	87.12740477182251
756.0	85.4330747421335
757.0	83.7990702137979
758.0	82.22128468084634
759.0	80.69584115347709
760.0	79.21908424141759
761.0	77.78757206559374
762.0	76.39806804969692
763.0	75.0475326396521
764.0	73.73311499539193
765.0	72.45214469575058
766.0	71.20212349371354
767.0	69.98071715577589
768.0	68.78574741572208
769.0	67.61518406984271
770.0	66.46713723738515
771.0	65.33984980697505
772.0	64.23169008681782
773.0	63.14114467372724
774.0	62.066811553393336
775.0	61.007393441877184
776.0	59.96169137602453
777.0	58.928598558378326
778.0	57.90709446023004
779.0	56.89623918467157
780.0	55.89516808987196
781.0	54.90308667138777
782.0	53.91926570096348
783.0	52.94303661815957
784.0	51.97378717011031
785.0	51.01095729384281
786.0	50.05403523483017
787.0	49.10255389481904
788.0	48.156087401451714
789.0	47.21424789177422
790.0	46.27668250140778
791.0	45.34307055091995
792.0	44.413120920771576
793.0	43.48656960613039
794.0	42.56317744283251
795.0	41.642727995793166
796.0	40.725025601268385
797.0	39.80989355449924
798.0	38.89717243444147
799.0	37.9867185574858
800.0	37.07840255231065
801.0	36.172108048257655
802.0	35.26773046990104
803.0	34.36517593076235
804.0	33.46436021942691
805.0	32.56520787161105
806.0	31.667651322054212
807.0	30.771630130409108
808.0	29.877090275611636
809.0	28.98398351352307
810.0	28.09226679294079
811.0	27.201901725353196
812.0	26.312854104123062
813.0	25.42509346903705
814.0	24.538592712450964
815.0	23.65332772350075
816.0	22.769277067096823
817.0	21.886421694669366
818.0	21.00474468384232
819.0	20.124231004419357
820.0	19.24486730829915
821.0	18.36664174107716
822.0	17.4895437733162
823.0	16.61356404960509
824.0	15.738694253691051
825.0	14.86492698811685
826.0	13.992255666930191
827.0	13.120674420155751
828.0	12.250178008840521
829.0	11.380761749589169
830.0	10.51242144760522
831.0	9.645153337351076
832.0	8.778954030013551
833.0	7.913820467057349
834.0	7.049749879195019
835.0	6.186739750194988
836.0	5.324787784981481
837.0	4.463891881560471
838.0	3.6040501063278043
839.0	2.745260672389577
840.0	1.8875219205349367
