Fit Curves X	Sum 'Fit Sum'
785.0	4.5790717545173037E-4
786.0	3.392600104711789E-4
787.0	2.506942779915348E-4
788.0	1.847620418321328E-4
789.0	1.3581186838856088E-4
790.0	9.956791141742434E-5
791.0	7.280443601117985E-5
792.0	5.3094939807829124E-5
793.0	3.8619384820507034E-5
794.0	2.801654562631676E-5
795.0	2.027126892576422E-5
796.0	1.4628658506968593E-5
797.0	1.0528958186215806E-5
798.0	7.55829358476916E-6
799.0	5.411525454716937E-6
800.0	3.864322770543393E-6
801.0	2.7522316384523206E-6
802.0	1.9550354988681467E-6
803.0	1.3851046223784398E-6
804.0	9.787437104791032E-7
805.0	6.89785548998459E-7
806.0	4.848620003130206E-7
807.0	3.3992368546096736E-7
808.0	2.3768633903137973E-7
809.0	1.6576271712275393E-7
810.0	1.1530010095277343E-7
811.0	7.998952198838705E-8
812.0	5.534743820189285E-8
813.0	3.819648696623929E-8
814.0	2.629125428264266E-8
815.0	1.8049357124625665E-8
816.0	1.2358772443882597E-8
817.0	8.440200775245579E-9
818.0	5.749033112860143E-9
819.0	3.905730333676346E-9
820.0	2.646525097518568E-9
821.0	1.7886159312474415E-9
822.0	1.2056648212658545E-9
823.0	8.105983514860057E-10
824.0	5.435704235720159E-10
825.0	3.635619126971874E-10
826.0	2.4253534764149093E-10
827.0	1.6137922477057226E-10
828.0	1.0710213786481827E-10
829.0	7.089715684599139E-11
830.0	4.681037692598107E-11
831.0	3.082768009736134E-11
832.0	2.0250137944860525E-11
833.0	1.3268045577669609E-11
834.0	8.671246215171387E-12
835.0	5.652699089313795E-12
836.0	3.6756543741452665E-12
837.0	2.38409256132642E-12
838.0	1.5425064507395754E-12
839.0	9.955263141867186E-13
840.0	6.409255219911091E-13
