Wavelength	R1
685.0	0.025049
686.0	0.025191
687.0	0.02546
688.0	0.025297
689.0	0.02453
690.0	0.023595
691.0	0.022698
692.0	0.02192
693.0	0.021315
694.0	0.020793
695.0	0.020264
696.0	0.019967
697.0	0.019711
698.0	0.019448
699.0	0.019042
700.0	0.018669
701.0	0.018311
702.0	0.018012
703.0	0.017848
704.0	0.017723
705.0	0.017759
706.0	0.017872
707.0	0.018185
708.0	0.018532
709.0	0.019053
710.0	0.019474
711.0	0.019489
712.0	0.01902
713.0	0.018258
714.0	0.017479
715.0	0.016858
716.0	0.016325
717.0	0.015799
718.0	0.015317
719.0	0.014748
720.0	0.014374
721.0	0.01411
722.0	0.013962
723.0	0.013905
724.0	0.013918
725.0	0.014101
726.0	0.014488
727.0	0.014799
728.0	0.014635
729.0	0.014802
730.0	0.015625
731.0	0.016091
732.0	0.01568
733.0	0.014581
734.0	0.013387
735.0	0.012885
736.0	0.012674
737.0	0.012754
738.0	0.012996
739.0	0.013037
740.0	0.012805
741.0	0.012382
742.0	0.01189
743.0	0.01141
744.0	0.01105
745.0	0.010727
746.0	0.010583
747.0	0.010584
748.0	0.01071
749.0	0.010654
750.0	0.010342
751.0	0.010117
752.0	0.00999
753.0	0.009674
754.0	0.009337
755.0	0.00916
756.0	0.009079
757.0	0.009073
758.0	0.009178
759.0	0.0094
760.0	0.00954
761.0	0.010091
762.0	0.014036
763.0	0.019745
764.0	0.014205
765.0	0.010177
766.0	0.008473
767.0	0.007641
768.0	0.007138
769.0	0.006803
770.0	0.006521
771.0	0.006315
772.0	0.006101
773.0	0.005796
774.0	0.005606
775.0	0.005445
776.0	0.005324
777.0	0.005227
778.0	0.005149
779.0	0.005145
780.0	0.00516
781.0	0.005115
782.0	0.005013
783.0	0.0049
784.0	0.00481
785.0	0.004804
786.0	0.004996
787.0	0.005711
788.0	0.006564
789.0	0.006172
790.0	0.005459
791.0	0.004951
792.0	0.004684
793.0	0.004578
794.0	0.004653
795.0	0.004982
796.0	0.005361
797.0	0.00524
798.0	0.004963
799.0	0.004723
800.0	0.004481
801.0	0.004271
802.0	0.004117
803.0	0.004004
804.0	0.003962
805.0	0.00401
806.0	0.004109
807.0	0.004146
808.0	0.004098
809.0	0.004032
810.0	0.003969
811.0	0.00394
812.0	0.003924
813.0	0.003918
814.0	0.00399
815.0	0.00421
816.0	0.004551
817.0	0.005042
818.0	0.006151
819.0	0.008443
820.0	0.012823
821.0	0.021659
822.0	0.028957
823.0	0.023218
824.0	0.01559
825.0	0.014323
826.0	0.018991
827.0	0.019549
828.0	0.01078
829.0	0.006846
830.0	0.005776
831.0	0.006117
832.0	0.008654
833.0	0.014421
834.0	0.012505
835.0	0.007456
836.0	0.005384
837.0	0.004292
838.0	0.004026
839.0	0.005952
840.0	0.008047
